"year","total_births","male_births","female_births","crude_birth_rate","sex_ratio_at_birth","total_fertility_rate"
"1971","2000973","1032937","968036","19.2","106.7","2.16"
"1970","1934239","1000403","933836","18.8","107.1","2.13"
"1969","1889815","977687","912128","18.5","107.2","2.13"
"1968","1871839","967996","903843","18.6","107.1","2.13"
"1967","1935647","992778","942869","19.4","105.3","2.23"
"1966","1360974","705463","655511","13.7","107.6","1.58"
"1965","1823697","935366","888331","18.6","105.3","2.14"
"1964","1716761","882924","833837","17.7","105.9","2.05"
"1963","1659521","852561","806960","17.3","105.7","2.00"
"1962","1618616","833269","785347","17.0","106.1","1.98"
"1961","1589372","817599","771773","16.9","105.9","1.96"
"1960","1606041","824761","781280","17.2","105.6","2.00"
"1959","1626088","835822","790266","17.5","105.8","2.04"
"1958","1653469","848733","804736","18.0","105.5","2.11"
"1957","1566713","805220","761493","17.2","105.7","2.04"
"1956","1665278","856084","809194","18.4","105.8","2.22"
"1955","1730692","889670","841022","19.4","105.8","2.37"
"1954","1769580","911212","858368","20.0","106.2","2.48"
"1953","1868040","957524","910516","21.5","105.2","2.69"
"1952","2005162","1028061","977101","23.4","105.2","2.98"
"1951","2137689","1094641","1043048","25.3","104.9","3.26"
"1950","2337507","1203111","1134396","28.1","106.1","3.65"
"1949","2696638","1380008","1316630","33.0","104.8","4.32"
"1948","2681624","1378564","1303060","33.5","105.8","4.40"
"1947","2678792","1376986","1301806","34.3","105.8","4.54"
"1943","2253535","1155983","1097552","30.9","105.3",""
"1942","2233660","1145068","1088592","30.9","105.2",""
"1941","2277283","1165437","1111846","31.8","104.8",""
"1940","2115867","1084282","1031585","29.4","105.1",""
"1939","1901573","973744","927829","26.6","104.9",""
"1938","1928321","990888","937433","27.2","105.7",""
"1937","2180734","1116154","1064580","30.9","104.8",""
"1936","2101969","1076197","1025772","30.0","104.9",""
"1935","2190704","1122867","1067836","31.6","105.2",""
"1934","2043783","1042736","1001047","29.9","104.2",""
"1933","2121253","1087688","1033565","31.5","105.2",""
"1932","2182742","1117954","1064788","32.9","105.0",""
"1931","2102784","1073385","1029399","32.1","104.3",""
"1930","2085101","1069551","1015549","32.4","105.3",""
"1929","2077026","1058666","1018360","32.7","104.0",""
"1928","2135852","1090702","1045150","34.1","104.4",""
"1927","2060737","1048946","1011791","33.4","103.7",""
"1926","2104405","1081793","1022611","34.6","105.8",""
"1925","2086091","1060827","1025264","34.9","103.5",""
"1924","1998520","1019988","978532","33.9","104.2",""
"1923","2043297","1043599","999698","35.2","104.4",""
"1922","1969314","1004022","965292","34.3","104.0",""
"1921","1990876","1017457","973419","35.1","104.5",""
"1920","2025564","1035134","990430","36.2","104.5",""
"1919","1778685","910400","868285","32.3","104.9",""
"1918","1791992","914685","877307","32.7","104.3",""
"1917","1812413","924953","887460","33.5","104.2",""
"1916","1804822","921347","883475","33.7","104.3",""
"1915","1799326","918296","881030","34.1","104.2",""
"1914","1808402","925855","882547","34.8","104.9",""
"1913","1757441","897824","859617","34.3","104.4",""
"1912","1737674","886449","851225","34.4","104.1",""
"1911","1747803","891049","856754","35.1","104.0",""
"1910","1712857","872779","840078","34.8","103.9",""
"1909","1693850","863855","829995","34.9","104.1",""
"1908","1662815","850209","812606","34.7","104.6",""
"1907","1614472","818114","796358","34.0","102.7",""
"1906","1394295","726155","668140","29.6","108.7",""
"1905","1452770","735948","716822","31.2","102.7",""
"1904","1440371","738230","702141","31.2","105.1",""
"1903","1489816","763806","726010","32.7","105.2",""
"1902","1510835","773296","737539","33.6","104.8",""
"1901","1501591","769494","732097","33.9","105.1",""
"1900","1420534","727916","692618","32.4","105.1",""
"1899","1386981","713442","673539","32.0","105.9",""
